CURSOS,2010,2011,2012,2013
ADMINISTRAÇÃO,7548,7204,7341,7548
ADMINISTRAÇÃO - MARKETING,0,10,0,0
ADMINISTRAÇÃO PÚBLICA,42,66,46,42
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,368,355,325,368
AQÜICULTURA,0,27,6,0
ARQUITETURA E URBANISMO,1059,754,866,1059
ARTES VISUAIS,128,122,131,128
AUTOMAÇÃO INDUSTRIAL,0,38,7,0
BANCO DE DADOS,4,61,10,4
BELEZA,0,1,20,0
BIBLIOTECONOMIA,170,131,127,170
BIOMEDICINA,383,261,285,383
CIÊNCIA DA COMPUTAÇÃO,276,338,308,276
CIÊNCIA E TECNOLOGIA,3065,2287,2655,3065
CIÊNCIAS AERONÁUTICAS,5,0,3,5
CIÊNCIAS ATUARIAIS,81,85,79,81
CIÊNCIAS BIOLÓGICAS,1254,1335,1277,1254
CIÊNCIAS CONTÁBEIS,4993,4138,4572,4993
CIÊNCIAS DA RELIGIÃO,146,185,148,146
CIÊNCIAS ECONÔMICAS,329,429,332,329
CIÊNCIAS SOCIAIS,403,454,400,403
CIÊNCIAS SOCIAIS - ANTROPOLOGIA,0,2,0,0
CIÊNCIAS SOCIAIS - ANTROPOLOGIA E SOCIOLOGIA,0,1,0,0
CIÊNCIAS SOCIAIS - POLÍTICA,0,3,0,0
CIÊNCIAS SOCIAIS - POLÍTICA E SOCIOLOGIA,1,0,0,1
CIÊNCIAS SOCIAIS - POLÍTICA E SOCIOLOGIA - POLÍTICA E SOCIOLOGIA,0,1,0,0
CIÊNCIAS SOCIAIS - SOCIOLOGIA,0,6,1,0
CINEMA E AUDIOVISUAL,32,33,32,32
COMÉRCIO EXTERIOR,150,145,179,150
COMPUTAÇÃO,0,0,3,0
COMUNICAÇÃO SOCIAL,0,0,1036,0
COMUNICAÇÃO SOCIAL - JORNALISMO,479,470,0,479
COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,942,222,239,942
COMUNICAÇÃO SOCIAL - RADIALISMO,313,318,0,313
CONSTRUÇÃO DE EDIFÍCIOS,176,162,164,176
DANÇA,118,106,116,118
DESIGN,184,110,139,184
DESIGN DE INTERIORES,451,265,372,451
DESIGN GRÁFICO,421,321,381,421
DIREITO,9336,9185,8969,9336
ECOLOGIA,255,238,231,255
EDUCAÇÃO ARTÍSTICA,0,2,5,0
EDUCAÇÃO ARTÍSTICA - ARTES CÊNICAS,0,9,0,0
EDUCAÇÃO ARTÍSTICA - ARTES PLÁSTICAS,0,4,0,0
EDUCAÇÃO FÍSICA,2786,1583,2168,2786
ENFERMAGEM,4445,4168,4281,4445
ENGENHARIA AMBIENTAL,26,6,11,26
ENGENHARIA AMBIENTAL E SANITÁRIA,35,32,31,35
ENGENHARIA BIOMÉDICA,7,3,3,7
ENGENHARIA CIVIL,3915,1941,2742,3915
ENGENHARIA DA COMPUTAÇÃO,132,0,152,132
ENGENHARIA DA COMPUTAÇÃO - AUTOMAÇÃO INDUSTRIAL,0,203,0,0
ENGENHARIA DA COMPUTAÇÃO - SISTEMAS E COMPUTAÇÃO,0,3,0,0
ENGENHARIA DE ALIMENTOS,198,177,181,198
ENGENHARIA DE AQUICULTURA,102,80,86,102
ENGENHARIA DE COMPUTAÇÃO,220,157,211,220
ENGENHARIA DE MATERIAIS,35,79,43,35
ENGENHARIA DE PETRÓLEO,109,58,66,109
ENGENHARIA DE PETRÓLEO E GÁS,492,252,347,492
ENGENHARIA DE PRODUÇÃO,691,471,608,691
ENGENHARIA DE SOFTWARE,59,59,72,59
ENGENHARIA DE TELECOMUNICAÇÕES,10,5,2,10
ENGENHARIA ELÉTRICA,576,466,434,576
ENGENHARIA MECÂNICA,341,305,227,341
ENGENHARIA MECATRÔNICA,15,0,3,15
ENGENHARIA QUÍMICA,353,329,313,353
ENGENHARIA TÊXTIL,218,228,198,218
ESTATÍSTICA,96,158,110,96
ESTÉTICA,0,353,0,0
