Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2010,142,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,25,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,94,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,89,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,66,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,33,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,10,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,264,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,115,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,151,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,8,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,44,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2010,66,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO - ADMINISTRAÇÃO DE EMPRESAS,RN,NE
2010,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO - ADMINISTRAÇÃO FINANCEIRA,RN,NE
2010,15,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO - GESTÃO DE ORGANIZAÇÕES,RN,NE
2010,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO - GESTÃO DE SISTEMAS DE INFORMAÇÃO,RN,NE
2010,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO - MARKETING,RN,NE
2010,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO - MARKETING,RN,NE
2010,5,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO PÚBLICA,RN,NE
2010,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,RN,NE
2010,24,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,AQÜICULTURA,RN,NE
2010,75,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO,RN,NE
2010,42,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO,RN,NE
2010,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARTES VISUAIS,RN,NE
2010,17,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,AUTOMAÇÃO INDUSTRIAL,RN,NE
2010,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BANCO DE DADOS,RN,NE
2010,33,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIBLIOTECONOMIA,RN,NE
2010,15,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIOMEDICINA,RN,NE
2010,18,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2010,5,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2010,43,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2010,21,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2010,44,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2010,45,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2010,77,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2010,74,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,8,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,204,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,33,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,38,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,33,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,111,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2010,25,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS DA RELIGIÃO,RN,NE
2010,37,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS ECONÔMICAS,RN,NE
2010,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,RN,NE
2010,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,RN,NE
2010,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,RN,NE
2010,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - ANTROPOLOGIA,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - ANTROPOLOGIA E SOCIOLOGIA,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - POLÍTICA E SOCIOLOGIA - POLÍTICA E SOCIOLOGIA,RN,NE
2010,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - SOCIOLOGIA,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMPUTAÇÃO,RN,NE
2010,62,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL - JORNALISMO,RN,NE
2010,28,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL - RADIALISMO,RN,NE
2010,18,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,RN,NE
2010,38,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CONSTRUÇÃO DE EDIFÍCIOS,RN,NE
2010,96,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DESIGN GRÁFICO,RN,NE
2010,29,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,92,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,45,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,81,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
