Ano Censo,Número de Cursos,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,ADMINISTRAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO PÚBLICA,ADMINISTRAÇÃO PÚBLICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,AUTOMAÇÃO INDUSTRIAL,AUTOMAÇÃO INDUSTRIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BELEZA,BELEZA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMPUTAÇÃO,COMPUTAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,COMÉRCIO EXTERIOR,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,COMÉRCIO EXTERIOR,RN,NE
