Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,22,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,48,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,214,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,211,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,234,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,93,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,28,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,402,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,696,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,44,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,60,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,207,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,3244,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,322,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,88,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - ADMINISTRACAO DE EMPRESAS,RN,NE
2009,34,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - ADMINISTRACAO FINANCEIRA,RN,NE
2009,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - ANALISE DE SISTEMAS,RN,NE
2009,12,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - COMERCIO EXTERIOR,RN,NE
2009,74,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - GESTAO DE ORGANIZACOES,RN,NE
2009,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACAO,RN,NE
2009,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACAO,RN,NE
2009,68,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - MARKETING,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - MARKETING,RN,NE
2009,23,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - MARKETING,RN,NE
2009,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - SISTEMAS DE INFORMACAO GERENCIAL,RN,NE
2009,187,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO A DISTANCIA,RN,NE
2009,38,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO EAD,RN,NE
2009,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO EAD,RN,NE
2009,943,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO NATAL,RN,NE
2009,18,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAOEAD,RN,NE
2009,128,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,AQUICULTURA NATAL,RN,NE
2009,485,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO,RN,NE
2009,226,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO NATAL,RN,NE
2009,95,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARTES VISUAIS NATAL,RN,NE
2009,477,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BACHARELADO EM CIENCIA E TECNOLOGIA NATAL,RN,NE
2009,158,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIBLIOTECONOMIA NATAL,RN,NE
2009,176,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIOMEDICINA NATAL,RN,NE
2009,127,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIA DA COMPUTACAO,RN,NE
2009,243,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIA DA COMPUTACAO NATAL,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIA DA COMPUTACAO NATAL COMPUTACAO CIENTIFICA,RN,NE
2009,27,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIA DA COMPUTACAO NATAL SISTEMAS DE INFORMACAO,RN,NE
2009,39,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS ATUARIAIS NATAL,RN,NE
2009,195,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS,RN,NE
2009,416,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS,RN,NE
2009,891,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS NATAL,RN,NE
2009,21,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,132,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,65,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,144,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,211,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,246,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,29,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,525,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,936,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,231,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS  EAD,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS EAD,RN,NE
2009,799,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS NATAL,RN,NE
2009,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEISEAD,RN,NE
2009,225,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS DA RELIGIAO,RN,NE
2009,529,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS ECONOMICAS NATAL,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS,RN,NE
2009,21,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS,RN,NE
2009,426,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL,RN,NE
2009,5,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL ANTROPOLOGIA E POLITICA,RN,NE
2009,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL ANTROPOLOGIA E SOCIOLOGIA,RN,NE
2009,17,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA,RN,NE
2009,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA,RN,NE
2009,11,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA E SOCIOLOGIA,RN,NE
2009,51,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL SOCIOLOGIA,RN,NE
2009,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMPUTACAO,RN,NE
2009,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL,RN,NE
2009,101,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - JORNALISMO,RN,NE
2009,329,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,RN,NE
2009,193,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,RN,NE
2009,478,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL JORNALISMO,RN,NE
2009,79,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL PUBLICIDADE E PROPAGANDA,RN,NE
2009,356,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL RADIALISMO,RN,NE
2009,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA DA PRODUCAO DA CONSTRUCAO CIVIL - CAMPUS NATAL-CENTRAL,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ADMINISTRACAO LEGISLATIVA,RN,NE
2009,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ADMINISTRACAO PUBLICA,RN,NE
2009,33,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,RN,NE
2009,157,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS - CAMPUS NATAL-CENTRAL,RN,NE
2009,94,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS EIXOTECNOLOGICO INFORMACAO E COMUNICACAO,RN,NE
